chebi_id,smiles,similarity
CHEBI:176201,CC1=C(/C=C\C(C)=C/C=C\C(C)=C/C=C/C=C(C)/C=C\C=C(C)\C=C\C2(O)C(C)(C)CC(O)CC2(C)O)C(C)(C)CC(O)C1,0.5434782608695652
CHEBI:176731,CC1=C[C@@H](O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H]1C(C)=CC(=O)CC1(C)C,0.5747126436781609
CHEBI:177902,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=O)C(C)(C)C[C@H](O)C1,0.620253164556962
CHEBI:177903,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=O,0.6329113924050633
CHEBI:181811,CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0.6666666666666666
CHEBI:181837,CC1=C(C#C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,0.5268817204301075
CHEBI:184177,CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(\C)CCCO,0.5681818181818182
CHEBI:185363,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(\C)CCCO)C(C)(C)CC(O)C1,0.5568181818181818
CHEBI:186793,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,0.6590909090909091
CHEBI:187846,CC1=C[C@@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,0.6590909090909091
CHEBI:191464,CC1=CC(=O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0.6896551724137931
CHEBI:192131,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=O)C(C)(C)CC(O)C1,0.620253164556962
CHEBI:192915,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]23O[C@@H](CC2(C)C)C[C@@]3(C)O)C(C)(C)C[C@H](O)C1,0.5368421052631579
CHEBI:194487,CC1=C[C@@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(/C=C/C1=C(C)C[C@H](O)CC1(C)C)CO,0.8
CHEBI:207708,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@H](O)C(C)(C)O)C(C)(C)CC(O)C1,0.5568181818181818
CHEBI:215921,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)[C@H](O)C2(C)C)C(C)(C)C[C@H](O)C1,0.5384615384615384
CHEBI:226848,CC(C)=CC[C@@H](/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C)C(C)(C)O,0.5212765957446809
CHEBI:230393,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)[C@]2(C)CC(=O)CC2(C)C)C(C)(C)C[C@H](O)C1,0.5319148936170213
CHEBI:230431,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(O)C(O)CC2(C)C)C(C)(C)CC(O)C1,0.5632183908045977
